id,title,body,source,date,category,author
c2_001,Python async concurrency,Python async programming keeps API calls non-blocking while handling many requests at once.,api/engineering-notes,2026-03-01,python,Alice
c2_002,Java multithreading,Java multithreading handles concurrent API requests in worker threads.,api/engineering-notes,2026-03-02,java,Bob
c2_003,ChromaDB persistence,A persistent ChromaDB client writes embeddings to disk so collections survive restarts.,vector-db/playbook,2026-03-03,vector_db,Chen
c2_004,Pinecone hosted indexes,Pinecone is a hosted vector database with serverless indexes managed in the cloud.,vector-db/playbook,2026-03-04,vector_db,Dana
c2_005,Metadata filtering,"Metadata filters on source, date, category, and author raise precision by removing off-topic chunks.",retrieval/guide,2026-03-05,retrieval,Alice
c2_006,Hybrid search,Hybrid search combines sparse keyword retrieval with dense vector retrieval and reranks the merged candidates.,retrieval/guide,2026-03-06,retrieval,Eli
c2_007,Cross encoder reranking,"A cross encoder scores a query and document together, making it slower but often more accurate than bi-encoder retrieval.",retrieval/guide,2026-03-07,retrieval,Sam
c2_008,Retrieval quality metrics,"Recall@k checks coverage, precision@k checks returned quality, MRR rewards the first hit, and NDCG uses graded relevance and rank.",evaluation/metrics,2026-03-08,evaluation,Priya
c2_009,BM25 sparse search,BM25 and TF-IDF are sparse methods that rely on exact token overlap and work well for keyword-heavy queries.,retrieval/guide,2026-03-09,retrieval,Noa
c2_010,Dense embeddings,Dense vector embeddings capture semantic similarity and can match paraphrases even when exact keywords differ.,retrieval/guide,2026-03-10,retrieval,Noa
c2_011,Query rewriting,"Query expansion helps recall, while segmentation and scoping improve precision when the wording is ambiguous.",retrieval/guide,2026-03-11,retrieval,Mina
c2_012,Python observability,Python logging records structured events and is commonly filtered by source and author in observability systems.,python/ops,2026-03-12,python,Alice
c2_013,Portfolio diversification,"Modern portfolio theory optimises risk-adjusted returns by diversifying investments across uncorrelated asset classes such as equities, bonds, and commodities.",finance/investment-guide,2026-03-13,finance,Riya
c2_014,Credit risk scoring,"Credit risk models estimate the probability of borrower default using financial ratios like debt-to-equity, interest coverage, and operating cash flow.",finance/risk-management,2026-03-14,finance,Omar
c2_015,Earnings per share analysis,Earnings per share (EPS) divides net income by outstanding shares and is a primary metric analysts use to compare company profitability across periods.,finance/investment-guide,2026-03-15,finance,Riya
c2_016,Bond pricing and inflation,"Rising inflation erodes the purchasing power of fixed coupon payments, pushing bond prices lower as market interest rates increase.",finance/investment-guide,2026-03-16,finance,Omar
c2_017,Financial regulatory compliance,"Financial institutions must maintain audit trails, transaction monitoring logs, and regulatory reports to satisfy SOX, Basel III, and AML requirements.",finance/compliance,2026-03-17,finance,Priya
c2_018,Algorithmic trading strategies,"Algorithmic trading executes orders using quantitative signals derived from historical price data, volume patterns, and statistical arbitrage models.",finance/trading-guide,2026-03-18,finance,Dana
c2_019,Bloom's taxonomy,"Bloom's taxonomy organises learning objectives into six cognitive levels: remember, understand, apply, analyse, evaluate, and create, guiding curriculum design and assessment.",education/curriculum-guide,2026-03-19,education,Mina
c2_020,Formative vs summative assessment,"Formative assessments provide ongoing feedback during instruction so teachers can adjust pacing, while summative assessments evaluate final learning outcomes.",education/assessment-guide,2026-03-20,education,Sam
c2_021,Adaptive learning platforms,"Adaptive learning systems use student performance data to personalise lesson difficulty, pacing, and content recommendations in real time.",education/learning-systems,2026-03-21,education,Mina
c2_022,Curriculum alignment,"Curriculum alignment ensures that learning objectives, instructional activities, and assessment tasks all address the same standards and competencies.",education/curriculum-guide,2026-03-22,education,Chen
c2_023,Student engagement metrics,"Student engagement is measured through attendance rates, assignment submission frequency, discussion participation, and time-on-task analytics.",education/assessment-guide,2026-03-23,education,Sam
c2_024,Clinical decision support,Clinical decision support systems retrieve patient history and evidence-based guidelines to recommend treatment options and alert clinicians to drug interactions.,healthcare/clinical-systems,2026-03-24,healthcare,Priya
c2_025,Electronic health records,"Electronic health records store structured patient data including diagnoses, medications, lab results, allergies, and visit notes for longitudinal care.",healthcare/records-management,2026-03-25,healthcare,Bob
c2_026,Contract clause extraction,"RAG pipelines extract key clauses from legal contracts to surface obligations, deadlines, penalties, and indemnification terms for review teams.",legal/contract-management,2026-03-26,legal,Eli
c2_027,Regulatory document search,Compliance teams use semantic search across thousands of policy documents to find the most relevant regulatory paragraphs for a given business question.,legal/compliance-guide,2026-03-27,legal,Eli
c2_028,Product recommendation engines,Product recommendation engines combine collaborative filtering with dense embeddings to surface items aligned with a customer purchase and browsing history.,ecommerce/recommendation-systems,2026-03-28,ecommerce,Noa
c2_029,Customer sentiment analysis,"Sentiment analysis classifies customer review text as positive, neutral, or negative using dense embeddings trained on labelled review datasets.",ecommerce/analytics,2026-03-29,ecommerce,Noa
